,Alpha,Delta_Pb,P_bar,T,rpm,rho,P001,P002,P003,P004,P005,P006,P007,P008,P009,P010,P011,P012,P013,P014,P015,P016,P017,P018,P019,P020,P021,P022,P023,P024,P025,P026,P027,P028,P029,P030,P031,P032,P033,P034,P035,P036,P037,P038,P039,P040,P041,P042,P043,P044,P045,P046,P047,P048,P049,P050,P051,P052,P053,P054,P055,P056,P057,P058,P059,P060,P061,P062,P063,P064,P065,P066,P067,P068,P069,P070,P071,P072,P073,P074,P075,P076,P077,P078,P079,P080,P081,P082,P083,P084,P085,P086,P087,P088,P089,P090,P091,P092,P093,P094,P095,P096,P097,P098,P099,P100,P101,P102,P103,P104,P105,P106,P107,P108,P109,P110,P111,P112,P113,q_inf,p_s_inf,c_n,c_l,p_s_avg,P050_v,P051_v,P052_v,P053_v,P054_v,P055_v,P056_v,P057_v,P058_v,P059_v,P060_v,P061_v,P062_v,P063_v,P064_v,P065_v,P066_v,P067_v,P068_v,P069_v,P070_v,P071_v,P072_v,P073_v,P074_v,P075_v,P076_v,P077_v,P078_v,P079_v,P080_v,P081_v,P082_v,P083_v,P084_v,P085_v,P086_v,P087_v,P088_v,P089_v,P090_v,P091_v,P092_v,P093_v,P094_v,P095_v,P096_v,V_inf
1,-6.0,138.73,1025.42,20.06,889.72,1.218,-169.07,212.25,270.34,189.28,103.4,55.27,22.38,8.66,-7.58,-16.46,-15.57,-29.18,-35.13,-40.92,-32.21,-30.08,-22.93,-16.58,-10.05,-4.21,0.11,4.4,9.23,10.75,19.38,-165.2,-622.73,-620.7,-482.37,-235.25,-192.98,-164.42,-142.45,-126.69,-113.04,-101.07,-91.12,-82.36,-73.3,-64.8,-57.03,-48.75,-40.11,-30.95,-21.35,-11.7,-1.64,7.63,19.38,291.76,292.67,292.81,291.68,291.77,292.54,293.54,292.65,292.07,292.45,292.55,291.82,292.46,291.8,291.54,292.64,291.79,291.25,292.27,293.38,291.75,283.44,266.31,239.95,218.26,212.35,226.9,253.65,276.42,289.2,290.94,292.67,292.61,289.71,292.4,294.49,293.56,293.44,292.23,294.22,292.31,293.67,292.71,291.24,291.64,293.65,293.06,293.05,15.7,12.46,13.54,13.69,14.3,14.49,14.97,15.71,16.21,16.14,16.12,11.33,1.58,-0.02,-0.17,-0.21,271.3616082847924,21.688391715207615,-0.39608011415048594,-0.3982618341487763,14.555,21.33496247884508,21.369952663665185,21.37533068527273,21.331883674062727,21.335347298203875,21.364957574286624,21.403351332813795,21.369184264374592,21.346888653206907,21.361498751254224,21.365341853392266,21.337271290894137,21.361883092580666,21.336501714637272,21.32649469618185,21.368800054367743,21.336116916099595,21.31532747930658,21.3545794245022,21.39721296094178,21.334577652545164,21.012350735113746,20.332014277923896,19.238158236902816,18.289094258637128,18.02183495939791,18.67292587998839,19.814202665204565,20.73624338734902,21.236219331468888,21.303383636206615,21.369952663665185,21.367647382896486,21.25592740667643,21.35957694088523,21.43976171962779,21.404118505520334,21.39951505673394,21.353041491843285,21.429419797108892,21.35611724640892,21.40833746399018,21.37148937936433,21.314942298510548,21.330344105024466,21.407570442476406,21.384930931288054,21.108897737353086
2,-5.0,140.15,1025.4,20.19,889.68,1.218,-84.9,224.19,260.42,164.63,76.79,30.89,0.06,-12.75,-25.07,-34.52,-32.38,-44.17,-49.38,-53.01,-42.97,-41.09,-34.25,-25.24,-17.87,-12.01,-8.84,-4.76,-0.51,0.1,22.87,-82.72,-558.81,-524.02,-296.02,-202.53,-170.85,-145.23,-125.69,-111.83,-100.04,-89.55,-80.86,-73.25,-65.05,-57.35,-50.37,-42.59,-34.36,-25.57,-16.03,-6.31,3.82,13.55,22.87,293.98,294.82,294.93,293.61,293.79,294.55,295.75,294.64,294.4,294.43,294.56,293.99,294.47,293.74,293.8,294.83,294.02,293.47,294.18,295.36,292.54,280.5,259.62,236.09,228.03,244.73,268.56,285.34,292.62,294.57,293.22,294.71,294.17,290.8,293.77,295.6,294.91,294.75,293.51,295.41,293.56,295.04,294.13,292.47,292.92,294.87,294.36,294.38,14.59,12.48,13.48,13.45,13.88,12.42,14.23,15.29,15.43,15.19,15.1,11.5,0.73,-0.02,-0.16,-0.19,274.1744209393915,20.2055790606085,-0.2792185227097571,-0.2802850921056018,13.92,21.444547957698163,21.476683809537356,21.480888515807987,21.430377592190073,21.437272453516687,21.466359675109086,21.512206791747403,21.46980160486773,21.460621898780804,21.461769576765427,21.46674213900184,21.444930810596343,21.463299718616565,21.435357436722757,21.437655436347356,21.477066089577782,21.44607932828302,21.42501338824252,21.452203717449994,21.49731720383344,21.38934559752383,20.922093350039887,20.086021902359587,19.100030519495213,18.75036945448817,19.467880161021004,20.448180330233154,21.111168726335116,21.39241613236559,21.46712459608052,21.415431110654122,21.4724782799079,21.451820994352143,21.322452068961702,21.436506467328332,21.506481247107438,21.48012408497855,21.474007658704707,21.426546154977075,21.49922670163913,21.428461959216826,21.485092399203197,21.450290033674033,21.38665851790729,21.403926714921585,21.47859514170058,21.45909156598756,21.21801837300462
3,-4.0,140.2,1025.33,20.25,890.02,1.217,1.44,225.37,238.19,135.33,47.47,6.29,-11.04,-32.36,-43.08,-49.88,-47.31,-56.72,-59.99,-63.43,-52.7,-48.81,-41.4,-31.57,-24.13,-18.85,-16.18,-12.65,-9.27,-7.91,27.14,3.42,-527.48,-357.35,-252.81,-191.9,-157.27,-124.17,-104.47,-91.94,-82.39,-74.94,-68.55,-62.38,-55.78,-49.15,-43.26,-36.42,-28.87,-20.74,-11.65,-2.27,7.81,17.67,27.14,293.04,293.86,293.93,292.83,292.93,293.57,294.89,293.76,293.42,293.57,293.72,292.88,293.61,292.92,292.93,293.89,293.01,292.51,293.25,293.96,287.5,269.16,248.03,239.15,251.11,273.47,286.02,291.55,293.32,293.76,292.36,293.85,293.96,287.37,293.52,295.32,294.77,294.44,293.16,295.18,293.34,294.69,293.89,292.14,292.6,294.6,293.85,294.1,14.2,12.99,13.97,13.78,14.05,14.3,14.17,15.29,15.24,14.9,14.79,12.19,0.67,-0.02,-0.14,-0.13,274.27347745189593,19.826522548104094,-0.18656174997261404,-0.18701731475189226,14.155833333333332,21.40827317893649,21.439723331016776,21.442405963107685,21.400211437634415,21.40405074075573,21.42860599180737,21.479162540602726,21.435890417082238,21.42285338011821,21.42860599180737,21.434357059594845,21.40213117528608,21.430139760791985,21.403666841434138,21.40405074075573,21.440873071583656,21.407121687484178,21.38792103631908,21.41633188556071,21.443555559839698,21.19457018985596,20.471202157566413,19.60472863433909,19.228939718718447,19.733398383897164,20.64347617862196,21.137114163939287,21.351007383655343,21.41901744732132,21.435890417082238,21.382157478835943,21.43934007045941,21.443555559839698,21.189529618047864,21.426688626183683,21.4956060430125,21.474571409012263,21.461940733013634,21.412878525523745,21.490253725911515,21.41978468883692,21.471510109232124,21.440873071583656,21.37370144985394,21.3913784254187,21.46806562518405,21.43934007045941,21.230568086722418
4,-3.0,140.79,1025.33,20.34,889.46,1.217,90.88,229.28,215.39,106.55,22.51,-9.15,-32.14,-48.68,-59.44,-62.35,-58.77,-68.63,-68.8,-70.99,-57.92,-53.63,-45.56,-35.75,-28.92,-24.2,-22.88,-19.72,-17.52,17.03,27.34,97.93,-364.48,-275.5,-200.44,-152.21,-126.54,-107.86,-94.65,-84.79,-76.63,-69.52,-63.48,-58.66,-52.83,-47.54,-42.06,-34.81,-25.57,-16.04,-6.32,2.69,12.27,21.66,27.34,296.55,297.29,297.35,296.17,296.4,297.0,298.22,297.1,297.23,296.96,297.08,296.26,297.12,296.29,296.43,297.22,296.54,296.02,296.46,295.43,283.74,263.51,252.35,258.3,273.08,288.59,294.47,296.38,296.85,297.26,295.84,297.26,296.98,293.29,296.7,298.46,297.89,297.6,296.17,298.22,296.2,297.77,297.15,295.23,295.7,297.71,297.27,296.98,15.06,14.42,15.35,15.06,15.17,16.15,15.48,16.12,16.17,15.78,15.66,13.64,1.31,0.0,-0.11,-0.09,275.4424152646113,21.53758473538869,-0.11588830342572562,-0.11604734227513776,15.338333333333333,21.49742170497789,21.525688029382902,21.527978266914673,21.482892112552808,21.491687512979844,21.51461511112611,21.56115937365191,21.518434002438074,21.523397548154104,21.513087364786607,21.517670278396906,21.486334219760057,21.5191976993744,21.487481466296792,21.492834473767996,21.52301577758441,21.497039473097583,21.477154041294742,21.493981373352078,21.45456940474266,21.002080214168725,20.195090670977038,19.73579252111738,19.981983120078954,20.58078922774638,21.190983752191585,21.41777062123891,21.490922838447315,21.508885502829184,21.524542819235492,21.470266331515464,21.524542819235492,21.51385125151744,21.37245198012707,21.503154367853448,21.570303800033656,21.5485794511527,21.537518301889335,21.482892112552808,21.56115937365191,21.48403954289788,21.54400311264775,21.520343193963622,21.44690819834285,21.46490769590833,21.541714578819942,21.524924562721257,21.27576171584314
5,-2.0,138.13,1025.36,20.5,889.42,1.216,178.2,215.38,179.38,67.91,-3.07,-35.41,-52.59,-65.59,-72.96,-76.17,-70.7,-77.74,-78.98,-78.95,-64.08,-59.62,-50.72,-41.14,-36.63,-31.59,-32.01,-31.26,-15.07,33.27,27.38,184.07,-208.75,-192.37,-149.12,-118.88,-100.29,-87.04,-77.18,-69.71,-63.42,-57.73,-52.94,-48.86,-43.9,-39.26,-34.82,-30.04,-24.99,-20.21,-15.47,-10.99,-4.08,13.33,27.38,290.46,291.24,291.38,290.34,290.25,291.14,292.12,291.4,290.68,291.02,291.17,290.38,291.07,290.3,290.25,291.32,290.51,289.85,290.85,291.43,286.25,273.25,258.37,253.03,259.89,274.3,283.77,288.95,290.63,291.17,289.87,291.27,291.1,288.98,291.13,293.04,292.1,291.75,290.76,292.8,291.01,292.42,291.2,289.75,290.14,292.28,291.49,291.71,14.27,14.05,14.89,14.54,14.64,15.23,14.83,15.48,15.51,15.03,14.88,13.39,0.65,-0.02,-0.07,-0.1,270.173323675654,21.53667632434599,-0.04586821407422584,-0.045896172782611926,14.728333333333333,21.295681033997347,21.325780769730247,21.331178790598777,21.291046528545788,21.28756998731683,21.321924203842062,21.35968852440618,21.331949824930053,21.304175008833774,21.317295403810803,21.323081246847256,21.29259147577828,21.31922419262574,21.289501469198793,21.28756998731683,21.328865520368513,21.29761178028794,21.272111818718663,21.31073621605259,21.333106324175965,21.13247947110067,20.62038092880737,20.01815239822588,19.79756375672912,20.08049863520815,20.662213902032214,21.035749124480215,21.23728980049421,21.30224485740675,21.323081246847256,21.272884993928592,21.3269376035065,21.320381382158757,21.2384514542713,21.32153850888732,21.395080082915932,21.3589184914126,21.345438417331,21.30726288743784,21.385853149039452,21.316909625105424,21.371235689877192,21.324238227071845,21.268245521054613,21.283320110177375,21.365847789273094,21.33541913460157,21.079943529416255
6,-1.0,138.27,1025.34,20.55,890.11,1.216,242.92,192.8,139.12,29.9,-34.2,-62.95,-75.32,-85.77,-88.63,-90.55,-82.87,-89.35,-88.5,-87.11,-72.16,-67.98,-57.26,-48.64,-45.21,-42.27,-41.7,-41.38,14.83,39.85,27.09,248.96,-71.07,-113.06,-100.16,-86.48,-74.37,-67.15,-59.75,-54.57,-50.27,-45.91,-42.38,-39.34,-35.26,-31.36,-27.58,-23.14,-18.05,-13.19,-8.21,-4.05,-0.34,3.32,27.09,291.44,292.29,292.36,291.24,291.2,291.91,293.24,292.26,291.65,292.02,292.11,291.37,292.18,291.41,291.37,292.28,291.35,290.73,291.46,291.65,287.18,274.87,261.0,256.37,263.62,276.73,284.06,288.84,291.37,292.11,290.73,291.96,291.63,286.75,291.52,293.38,292.7,292.31,291.23,293.38,291.52,292.7,291.81,290.27,290.68,292.78,291.89,292.12,13.43,13.78,14.65,14.19,14.2,14.56,11.48,14.95,14.85,14.27,14.14,13.27,0.22,-0.01,-0.08,-0.1,270.4505779812845,21.669422018715522,0.03959056803435991,0.03959659878814578,13.980833333333335,21.36228718083556,21.394983989530832,21.39767444119169,21.35458653844813,21.353046076716687,21.38037277299628,21.43146844974186,21.393830835243545,21.370369868894016,21.384603362347224,21.388064131208832,21.35959227180013,21.390755453224394,21.361132261451594,21.35959227180013,21.39459961167443,21.358822235336426,21.334937319771917,21.36305709240448,21.370369868894016,21.197658706779926,20.714584816568422,20.156426372817357,19.966631977974142,20.263038633164644,20.78829561674364,21.07626996652288,21.261961287873174,21.35959227180013,21.388064131208832,21.334937319771917,21.382295871921375,21.369600220792414,21.1809701809671,21.365366660646373,21.436839857361797,21.41073754025171,21.395752724527426,21.354201433433403,21.436839857361797,21.365366660646373,21.41073754025171,21.37652605612217,21.31719895978897,21.333009951633436,21.413810052508456,21.379603484990984,21.090756970163046
7,0.0,139.0,1025.31,20.58,890.3,1.216,280.14,155.4,90.48,-8.02,-70.67,-90.17,-98.39,-107.68,-106.29,-105.95,-97.07,-102.18,-99.07,-95.83,-80.35,-74.59,-64.77,-58.69,-54.6,-52.67,-54.16,-13.73,26.53,37.4,39.53,283.83,48.1,-36.69,-52.72,-53.39,-49.4,-45.91,-41.61,-38.69,-36.08,-33.36,-30.9,-28.85,-25.83,-22.71,-19.51,-15.44,-10.54,-5.65,-0.35,4.07,8.02,10.2,39.53,292.91,293.93,294.07,292.71,292.8,293.68,294.89,293.79,293.3,293.43,293.65,293.04,293.85,292.97,292.95,293.71,292.99,292.24,293.04,293.42,288.57,278.46,266.03,256.78,258.92,269.81,278.94,286.68,291.61,293.48,292.39,293.7,293.41,287.62,293.26,295.27,294.43,294.27,292.99,294.93,293.11,294.53,293.54,292.13,292.6,294.5,293.7,293.9,13.52,14.45,15.27,14.72,14.61,15.3,14.24,15.25,15.07,14.43,14.27,14.02,0.43,-0.02,-0.09,-0.09,271.8963805053999,22.00361949460006,0.13577510193912576,0.13577510193912576,14.595833333333333,21.395176175869437,21.434346156937902,21.439716843590386,21.38748737528722,21.39094767755416,21.424752296465698,21.471146744965896,21.428974124244583,21.410161395115924,21.41515413800204,21.423600744497854,21.400172414865374,21.431276588856534,21.39748227729182,21.3967136044341,21.42590378654248,21.398250922537095,21.369407804435777,21.400172414865374,21.414770122183544,21.22770373125069,20.832357433283207,20.335757602821236,19.95818682874845,20.046170665075497,20.488048773464488,20.851297079852866,21.154357779667418,21.345149465434865,21.41707411381142,21.37517954166927,21.425519963393054,21.414386099478637,21.190868450862375,21.408624932284372,21.485696231303738,21.453521006969723,21.447386920129787,21.398250922537095,21.472678734092398,21.402862214314055,21.45735392075877,21.41937785760869,21.365174206161978,21.383257356526357,21.456204118516364,21.425519963393054,21.147056396867686
8,0.0,138.26,1025.36,20.62,889.43,1.216,276.28,156.8,89.47,-8.47,-69.28,-89.83,-97.76,-106.28,-106.37,-104.9,-96.28,-101.07,-98.37,-95.07,-79.09,-73.62,-64.02,-57.95,-54.11,-52.19,-53.73,-15.94,25.81,36.64,39.15,280.31,48.52,-36.27,-51.71,-52.87,-48.82,-45.28,-41.19,-38.31,-35.76,-33.07,-30.61,-28.8,-25.59,-22.56,-19.33,-15.35,-10.51,-5.63,-0.38,3.94,7.86,10.0,39.15,289.28,290.12,290.19,289.15,289.04,289.92,290.94,290.33,289.31,289.93,290.1,289.37,290.24,289.36,289.18,290.11,289.38,288.6,289.8,290.32,284.93,275.3,262.31,253.18,255.81,267.3,276.05,283.29,288.14,289.72,288.38,289.86,289.46,286.58,289.63,291.5,290.45,290.22,289.24,291.2,289.55,290.9,289.63,288.44,288.8,290.85,290.01,289.98,13.23,14.19,14.98,14.46,14.37,15.05,14.0,15.03,14.75,14.11,13.98,13.77,0.13,0.01,-0.1,-0.1,270.4307738579922,19.549226142007797,0.13577510193912576,0.13577510193912576,14.326666666666668,21.26560314670107,21.298062262570998,21.300764956200474,21.260575283926556,21.256320009608373,21.29033839026355,21.329700896892042,21.30616931494709,21.266763253919144,21.2907246504282,21.29729000139475,21.269083278523595,21.30269524171539,21.268696625330637,21.26173566548065,21.297676135483183,21.269469924687662,21.239290386930325,21.285702721565883,21.30578333478429,21.096712348842996,20.717925961358944,20.195725403198658,19.82046611946809,19.929288373841132,20.397905809261616,20.747674779886296,21.03268654995771,21.221472078839923,21.282611714813314,21.230770453167445,21.28802068209733,21.272562841006287,21.16093305408101,21.279133795521833,21.351280827680014,21.31080053161414,21.301923148499093,21.264056238622448,21.33972286441004,21.276041834428483,21.328158637753823,21.279133795521833,21.2330944105096,21.247032816578695,21.326230656988773,21.29381447950835,21.089984755880614
9,1.0,137.55,1025.37,20.65,890.47,1.216,282.14,98.7,22.17,-63.88,-112.97,-124.78,-128.81,-133.62,-128.52,-129.11,-115.1,-118.57,-113.62,-109.15,-93.54,-86.07,-79.29,-73.17,-69.48,-69.37,-61.29,-0.74,17.81,25.6,29.52,287.23,153.37,39.78,-0.49,-15.19,-18.81,-20.62,-20.41,-19.75,-19.07,-17.81,-16.74,-15.7,-13.6,-11.23,-8.74,-5.38,-0.77,3.86,9.34,14.2,18.45,20.78,29.52,290.69,291.51,291.75,290.68,290.64,291.4,292.51,291.62,291.01,291.38,291.45,290.67,291.48,290.66,290.87,291.63,290.62,290.16,291.25,292.39,287.91,271.75,253.94,248.38,257.37,274.82,285.76,289.94,291.15,291.46,290.0,291.54,290.59,287.83,290.36,292.3,291.56,291.33,290.1,292.15,290.44,291.79,290.66,289.24,289.68,291.74,290.92,291.22,13.0,15.19,15.97,15.22,14.91,15.53,15.45,15.25,14.81,14.03,13.85,14.97,0.46,0.0,-0.08,-0.11,269.02477717784353,22.195222822156495,0.2676240363035587,0.2676648029495115,14.848333333333331,21.299928444818445,21.331564311248066,21.34081471750827,21.299542351561566,21.2979979085425,21.32732320082107,21.370081254104242,21.335804578631286,21.312279735961134,21.326551999220094,21.329251082829558,21.299156251305916,21.330407728396782,21.298770144051108,21.306876927085415,21.336190015697856,21.2972256450327,21.27945584896546,21.32153850888732,21.36546288723848,21.192323688858032,20.55567162524524,19.830352311721988,19.598421772298714,19.972088528129415,20.6781280117465,21.108728031854668,21.270952003208674,21.317681175534883,21.329636638321034,21.273271570995686,21.332720831393623,21.29606719725911,21.189219060313782,21.287183669910196,21.3619984568433,21.33349180999251,21.32462387319723,21.277136955369347,21.356223157287424,21.29027401288813,21.342356062082317,21.298770144051108,21.24387166533759,21.260897618488727,21.34042936397008,21.308806658939638,21.035088838974712
10,2.0,138.91,1025.33,20.68,890.29,1.216,271.26,34.65,-36.2,-113.92,-151.15,-157.75,-154.49,-155.02,-147.14,-144.37,-128.5,-130.17,-124.28,-119.92,-103.58,-94.46,-88.91,-84.94,-82.61,-82.61,-20.56,2.19,13.4,23.7,36.01,274.67,220.91,96.93,39.6,13.47,4.64,-1.57,-3.88,-5.38,-6.25,-6.44,-6.54,-6.71,-5.57,-4.17,-2.71,-0.26,3.38,7.36,12.46,17.52,22.69,26.27,36.01,290.87,291.83,291.85,290.63,290.62,291.61,292.78,291.85,291.07,291.4,291.7,291.01,291.75,290.95,291.03,291.78,290.92,290.14,291.29,292.72,290.4,275.46,254.32,246.79,255.9,274.49,285.86,290.31,291.2,291.59,290.06,291.59,290.91,287.02,291.07,292.97,292.07,291.76,290.69,292.53,290.92,292.23,291.08,289.72,290.24,292.28,291.43,291.53,12.36,15.2,15.95,15.13,14.67,15.21,15.33,14.84,14.34,13.43,13.28,15.1,0.35,0.01,-0.08,-0.08,271.71812005394486,19.811879946055114,0.35400535453948834,0.3542211364851003,14.57,21.317616880732334,21.354618630219207,21.355388818257264,21.308356403805032,21.307970463259938,21.34614472772173,21.39117193708903,21.355388818257264,21.325330872980736,21.338052863370642,21.34961173072315,21.323016968327416,21.351537600246424,21.320702812549417,21.323788297777227,21.35269303858415,21.319545640463108,21.289437089292598,21.33381304285215,21.388865155299357,21.299478002004996,20.714617899851355,19.85763475076367,19.543305489954463,19.92296017426284,20.676073128135332,21.123462261067356,21.29600283720176,21.330343471955132,21.34537420613656,21.286346624810445,21.34537420613656,21.319159902476656,21.168574648085755,21.325330872980736,21.39847510553276,21.363859054117786,21.35192275330627,21.31067190029693,21.381558704443858,21.319545640463108,21.370017116954948,21.325716499347127,21.273207141972346,21.293299539131034,21.371941147707023,21.339209031856434,21.14012305357526
11,3.0,139.0,1025.33,20.71,889.72,1.215,211.91,-33.61,-109.07,-168.48,-192.42,-189.41,-181.56,-176.84,-168.16,-161.26,-146.3,-144.09,-136.09,-131.28,-115.19,-107.03,-102.0,-99.18,-97.83,-42.11,-15.47,-3.75,8.93,21.64,39.22,218.2,262.85,146.19,75.56,40.37,24.99,16.05,10.94,7.69,5.15,3.62,2.44,1.0,1.29,1.89,2.33,3.84,6.62,9.91,14.28,18.88,24.03,28.58,39.22,291.12,292.14,292.13,291.04,290.93,291.84,293.0,292.11,291.31,291.88,291.92,291.17,291.76,291.17,291.55,292.06,291.27,290.56,291.53,293.06,291.12,277.84,255.87,245.32,253.65,273.45,285.75,290.36,291.54,291.79,290.54,291.81,291.92,289.35,291.93,293.84,292.9,292.69,291.56,293.49,291.64,293.02,292.02,290.67,291.01,293.03,292.3,292.41,12.4,16.03,16.75,15.85,15.33,15.84,16.26,15.51,14.55,13.59,13.47,16.1,0.79,0.0,-0.15,-0.24,271.8963805053999,20.513619494600107,0.440289193134818,0.4408934222469444,15.14,21.314034480680128,21.353385637629,21.353000193976268,21.31094504241478,21.306696333359035,21.341819299881784,21.38650780397264,21.352229285797094,21.32137010244106,21.34336184039913,21.344904269441102,21.315965152213266,21.338733884324256,21.315965152213266,21.330632545090232,21.350301893568204,21.31982597076881,21.292398999268094,21.32986082849494,21.38881673869505,21.314034480680128,20.794902825911322,19.906365175129203,19.465279842364552,19.814364827012305,20.620418184181787,21.10565231568979,21.284666711908766,21.33024669028262,21.339890967436027,21.291625896895084,21.340662321323517,21.344904269441102,21.245575671106394,21.3452898592864,21.4188102400382,21.382659025385145,21.37457433455785,21.33101839291815,21.405356815795496,21.334104924318027,21.387277476576635,21.34875985449981,21.29665056066049,21.309786387591352,21.387662302491876,21.35955179012184,21.1557570993123
12,4.0,137.65,1025.28,20.73,889.97,1.215,102.61,-120.77,-188.43,-225.35,-233.09,-219.96,-206.15,-197.23,-185.36,-176.15,-159.27,-154.48,-146.77,-142.01,-125.51,-119.06,-115.72,-113.17,-61.49,-31.57,-22.67,-9.02,6.47,20.38,40.4,108.47,279.62,188.91,110.11,66.79,47.48,33.99,27.42,22.4,18.24,15.33,12.95,10.89,10.01,9.73,9.28,9.92,11.88,14.44,18.02,21.99,26.69,31.11,40.4,288.77,289.7,289.97,288.9,288.74,289.54,290.56,289.9,289.18,289.35,289.73,288.84,289.33,288.93,289.2,289.8,288.78,288.19,289.48,290.88,289.08,275.47,251.96,241.36,251.4,272.36,284.48,288.39,289.3,289.44,287.94,289.38,289.03,284.85,289.1,291.04,290.26,289.85,288.73,290.8,289.18,290.36,289.25,287.95,288.25,290.46,289.5,289.54,11.08,15.34,16.04,15.04,14.36,14.74,15.17,14.28,13.38,12.29,12.16,15.53,0.22,-0.01,-0.12,-0.14,269.2227934150915,20.317206584908547,0.530483607042888,0.5317789939450193,14.1175,21.26271103736389,21.29867941577522,21.309110476517116,21.26774253248293,21.261549754013387,21.292495635091026,21.331886525013427,21.306406617798388,21.278575558006175,21.28515006216128,21.299838674788514,21.26542045189525,21.284376696488543,21.268903477707376,21.279349134512486,21.30254336715372,21.263098117719956,21.2402483071208,21.290176254279146,21.344229470450387,21.27470725355063,20.741501308806214,19.786618914454376,19.34067548962708,19.76331139678407,20.617723806943964,21.095998489366995,21.247996758639246,21.28321659528877,21.288629860018524,21.23055876594875,21.286310057987354,21.272772837538852,21.110428838877645,21.275480970708497,21.350398267312006,21.320308523929842,21.304475080043957,21.261162645467838,21.34114440334549,21.278575558006175,21.324168556102098,21.281282952755134,21.230946432501614,21.242573139340884,21.328027889670235,21.290949409290587,21.051486694324055
